,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ave
0,1914,2,1,1,0,2.1,1,1,3,2,1,1,1,1
1,1915,1,1,0,2,2,2,1,-1,-1,1,1,2,1
2,1916,3,4,6.1,6,5.9,6.9,6.9,7.9,9.9,10.8,11.7,12.6,7.9
3,1917,12.5,15.4,14.3,18.9,19.6,20.4,18.5,19.3,19.8,19.5,17.4,18.1,17.4
4,1918,19.7,17.5,16.7,12.7,13.3,13.1,18,18.5,18,18.5,20.7,20.4,18
5,1919,17.9,14.9,17.1,17.6,16.6,15,15.2,14.9,13.4,13.1,13.5,14.5,14.6
6,1920,17,20.4,20.1,21.6,21.9,23.7,19.5,14.7,12.4,9.9,7,2.6,15.6
7,1921,-1.6,-5.6,-7.1,-10.8,-14.1,-15.8,-14.9,-12.8,-12.5,-12.1,-12.1,-10.8,-10.5
8,1922,-11.1,-8.2,-8.7,-7.7,-5.6,-5.1,-5.1,-6.2,-5.1,-4.6,-3.4,-2.3,-6.1
9,1923,-0.6,-0.6,0.6,1.2,1.2,1.8,2.4,3,3.6,3.6,3,2.4,1.8
10,1924,3,2.4,1.8,0.6,0.6,0,-0.6,-0.6,-0.6,-0.6,-0.6,0,0
11,1925,0,0,1.2,1.2,1.8,2.9,3.5,4.1,3.5,2.9,4.7,3.5,2.3
12,1926,3.5,4.1,2.9,4.1,2.9,1.1,-1.1,-1.7,-1.1,-0.6,-1.7,-1.1,1.1
13,1927,-2.2,-2.8,-2.8,-3.4,-2.2,-0.6,-1.1,-1.1,-1.1,-1.1,-2.3,-2.3,-1.7
14,1928,-1.1,-1.7,-1.2,-1.2,-1.1,-2.8,-1.2,-0.6,0,-1.1,-0.6,-1.2,-1.7
15,1929,-1.2,0,-0.6,-1.2,-1.2,0,1.2,1.2,0,0.6,0.6,0.6,0
16,1930,0,-0.6,-0.6,0.6,-0.6,-1.8,-4,-4.6,-4,-4.6,-5.2,-6.4,-2.3
17,1931,-7,-7.6,-7.7,-8.8,-9.5,-10.1,-9,-8.5,-9.6,-9.7,-10.4,-9.3,-9
18,1932,-10.1,-10.2,-10.3,-10.3,-10.5,-9.9,-9.9,-10.6,-10.7,-10.7,-10.2,-10.3,-9.9
19,1933,-9.8,-9.9,-10,-9.4,-8,-6.6,-3.7,-2.2,-1.5,-0.8,0,0.8,-5.1
20,1934,2.3,4.7,5.6,5.6,5.6,5.5,2.3,1.5,3,2.3,2.3,1.5,3.1
21,1935,3,3,3,3.8,3.8,2.2,2.2,2.2,0.7,1.5,2.2,3,2.2
22,1936,1.5,0.7,0,-0.7,-0.7,0.7,1.5,2.2,2.2,2.2,1.4,1.4,1.5
23,1937,2.2,2.2,3.6,4.4,5.1,4.3,4.3,3.6,4.3,4.3,3.6,2.9,3.6
24,1938,0.7,0,-0.7,-0.7,-2.1,-2.1,-2.8,-2.8,-3.4,-4.1,-3.4,-2.8,-2.1
25,1939,-1.4,-1.4,-1.4,-2.8,-2.1,-2.1,-2.1,-2.1,0,0,0,0,-1.4
26,1940,-0.7,0.7,0.7,1.4,1.4,2.2,1.4,1.4,-0.7,0,0,0.7,0.7
27,1941,1.4,0.7,1.4,2.1,2.9,4.3,5,6.4,7.9,9.3,10,9.9,5
28,1942,11.3,12.1,12.7,12.6,13.2,10.9,11.6,10.7,9.3,9.2,9.1,9,10.9
29,1943,7.6,7,7.5,8.1,7.4,7.4,6.1,4.8,5.5,4.2,3.6,3,6.1
30,1944,3,3,1.2,0.6,0,0.6,1.7,2.3,1.7,1.7,1.7,2.3,1.7
31,1945,2.3,2.3,2.3,1.7,2.3,2.8,2.3,2.3,2.3,2.3,2.3,2.2,2.3
32,1946,2.2,1.7,2.8,3.4,3.4,3.3,9.4,11.6,12.7,14.9,17.7,18.1,8.3
33,1947,18.1,18.8,19.7,19,18.4,17.6,12.1,11.4,12.7,10.6,8.5,8.8,14.4
34,1948,10.2,9.3,6.8,8.7,9.1,9.5,9.9,8.9,6.5,6.1,4.8,3,8.1
